   90/2999     1.41G   0.03947   0.01611         0   0.05559        32       416    0.7551    0.6435    0.6785    0.3872   0.05376  0.007279         0
   91/2999     1.41G   0.03944   0.01602         0   0.05546        29       416    0.8199    0.5739    0.6686    0.4062   0.05639  0.007341         0
   92/2999     1.41G    0.0386   0.01637         0   0.05497        21       416    0.8061    0.6689    0.7028    0.4005   0.05362   0.00733         0
   93/2999     1.41G   0.03892     0.016         0   0.05492        29       416    0.7728    0.6522    0.7068    0.4093   0.05368  0.007156         0
   94/2999     1.41G   0.03831   0.01636         0   0.05467        36       416    0.7734    0.6739    0.6998    0.4091   0.05177  0.007349         0
   95/2999     1.41G   0.03809   0.01611         0    0.0542        42       416     0.783    0.6432    0.7055    0.4294   0.04993  0.007411         0
   96/2999     1.41G   0.03866   0.01616         0   0.05482        33       416    0.7033    0.6826    0.6918    0.3916   0.05193  0.007529         0
   97/2999     1.41G   0.03852   0.01616         0   0.05468        26       416    0.7103    0.6608    0.6864    0.3938   0.05109  0.007326         0
   98/2999     1.41G   0.03774   0.01569         0   0.05343        27       416    0.7298    0.6694    0.6654    0.3749   0.05233   0.00729         0
   99/2999     1.41G   0.03748   0.01582         0    0.0533        27       416    0.8052    0.6478    0.7018    0.4213   0.04946   0.00741         0
  100/2999     1.41G   0.03811    0.0158         0    0.0539        33       416    0.7884    0.6826    0.7181    0.4177   0.05429  0.007084         0
  101/2999     1.41G   0.03762   0.01588         0    0.0535        29       416    0.8186    0.6473     0.699    0.4101   0.05191  0.007199         0
  102/2999     1.41G   0.03731   0.01597         0   0.05329        21       416    0.7586    0.6695    0.6956    0.3964   0.05469  0.007258         0
  103/2999     1.41G   0.03809   0.01614         0   0.05424        17       416    0.6944    0.6826     0.681    0.4178   0.04946  0.007371         0
  104/2999     1.41G   0.03763   0.01587         0   0.05349        34       416    0.7665    0.6564    0.6922    0.4211   0.04949  0.007307         0
  105/2999     1.41G    0.0372    0.0156         0    0.0528        24       416    0.7733    0.6696    0.6909     0.395   0.05232  0.007292         0
  106/2999     1.41G    0.0372   0.01564         0   0.05284        33       416    0.8328     0.613    0.6991    0.4118    0.0545  0.007165         0
  107/2999     1.41G   0.03746   0.01549         0   0.05295        30       416    0.8223     0.687    0.7144    0.4278   0.05295  0.007254         0
  108/2999     1.41G   0.03651   0.01548         0   0.05199        35       416    0.7965       0.7    0.7188    0.4297   0.05123  0.007084         0
  109/2999     1.41G   0.03698    0.0155         0   0.05248        29       416    0.8462    0.6478    0.7005    0.4384    0.0519  0.007415         0
  110/2999     1.41G   0.03704   0.01593         0   0.05297        32       416    0.8563       0.6      0.71    0.4158   0.05163  0.007313         0
  111/2999     1.41G   0.03646    0.0155         0   0.05196        25       416    0.8111    0.6347    0.6993    0.4062   0.05166  0.007309         0
  112/2999     1.41G   0.03635   0.01521         0   0.05156        20       416    0.8323    0.6261    0.6842    0.4174   0.05085  0.007272         0
  113/2999     1.41G   0.03715   0.01577         0   0.05292        29       416     0.824    0.6522    0.6839    0.4042   0.04919  0.007278         0
  114/2999     1.41G   0.03705   0.01559         0   0.05264        30       416    0.7709    0.6304    0.7019    0.4234   0.04924  0.007519         0
  115/2999     1.41G   0.03667   0.01519         0   0.05187        27       416    0.8098     0.613    0.6971     0.424    0.0491  0.007171         0
  116/2999     1.41G   0.03648   0.01531         0   0.05179        33       416    0.7677    0.6608    0.6796    0.3971   0.05267  0.007255         0
  117/2999     1.41G   0.03594   0.01533         0   0.05127        23       416      0.84    0.6435    0.7028    0.4245   0.04986  0.007096         0
  118/2999     1.41G   0.03639   0.01535         0   0.05174        20       416    0.8186    0.6869    0.7162      0.43   0.05339  0.006919         0
  119/2999     1.41G   0.03621   0.01555         0   0.05176        19       416    0.7823    0.7043     0.718    0.4251   0.05055  0.007104         0
  120/2999     1.41G   0.03611    0.0156         0   0.05171        24       416    0.8216    0.6607     0.697     0.425   0.05233  0.007175         0
  121/2999     1.41G    0.0364   0.01521         0   0.05161        26       416    0.7921    0.6304    0.6716    0.4031   0.05213  0.007646         0
  122/2999     1.41G   0.03685   0.01468         0   0.05153        27       416    0.7867    0.6735    0.7014    0.4177    0.0491  0.007098         0
  123/2999     1.41G   0.03618   0.01572         0    0.0519        18       416     0.816    0.6565    0.6871    0.4156   0.05179  0.007265         0
  124/2999     1.41G   0.03548    0.0148         0   0.05028        30       416    0.8342    0.6565    0.7016     0.432   0.05187  0.007065         0
  125/2999     1.41G   0.03517    0.0151         0   0.05028        30       416    0.8585    0.6609    0.6973    0.3988   0.05266  0.007173         0
  126/2999     1.41G   0.03479   0.01461         0    0.0494        21       416    0.8268    0.6435    0.6961    0.4367   0.05259  0.007117         0
  127/2999     1.41G    0.0356   0.01521         0   0.05082        37       416    0.8222    0.6433    0.6917    0.4106   0.05285  0.007243         0
  128/2999     1.41G   0.03551     0.015         0   0.05051        22       416    0.7789    0.6432    0.6812    0.4169   0.05286  0.007121         0
  129/2999     1.41G   0.03561   0.01536         0   0.05098        22       416    0.8118    0.6565    0.7026    0.4274   0.05064  0.007188         0
  130/2999     1.41G   0.03494   0.01477         0    0.0497        34       416    0.8577    0.6304    0.6836    0.4124   0.05256  0.007303         0
  131/2999     1.41G   0.03458   0.01458         0   0.04916        17       416    0.8162    0.6565    0.7029    0.4276   0.05432  0.007015         0
  132/2999     1.41G   0.03494   0.01524         0   0.05018        34       416    0.8721    0.5957    0.7052    0.4265   0.05082  0.007448         0
  133/2999     1.41G   0.03459   0.01492         0   0.04951        29       416    0.8809    0.6435     0.699    0.4208   0.05398  0.007098         0
  134/2999     1.41G   0.03479     0.015         0   0.04979        34       416    0.8198    0.6739    0.7228     0.428   0.05101  0.007196         0
  135/2999     1.41G    0.0347   0.01497         0   0.04967        33       416    0.8141    0.7043    0.7318    0.4352   0.05153  0.007052         0
